id,name,description,brand_id,price,category_id
1,Dell iPhone 16 128GB,iPhone 16 with 128GB storage,4,2401.58,1
2,Dell iPhone 16 128GB,iPhone 16 with 128GB storage,4,770.68,1
3,Samsung iPhone 16 128GB,iPhone 16 with 128GB storage,2,1818.56,1
4,HP iPhone 16 128GB,iPhone 16 with 128GB storage,5,1577.2,1
5,Samsung iPhone 16 128GB,iPhone 16 with 128GB storage,2,1320.81,1
6,HP iPhone 16 128GB,iPhone 16 with 128GB storage,5,769.57,1
7,HP iPhone 16 128GB,iPhone 16 with 128GB storage,5,1482.83,1
8,Dell iPhone 16 128GB,iPhone 16 with 128GB storage,4,1977.47,1
9,Dell iPhone 16 128GB,iPhone 16 with 128GB storage,4,2126.73,1
10,Apple iPhone 16 128GB,iPhone 16 with 128GB storage,1,1353.62,1
11,Sony iPhone 16 256GB,iPhone 16 with 256GB storage,3,1780.09,1
12,Samsung iPhone 16 256GB,iPhone 16 with 256GB storage,2,807.01,1
13,Dell iPhone 16 256GB,iPhone 16 with 256GB storage,4,720.7,1
14,HP iPhone 16 256GB,iPhone 16 with 256GB storage,5,837.0,1
15,Samsung iPhone 16 256GB,iPhone 16 with 256GB storage,2,2285.5,1
16,Dell iPhone 16 256GB,iPhone 16 with 256GB storage,4,865.64,1
17,HP iPhone 16 256GB,iPhone 16 with 256GB storage,5,1657.78,1
18,Samsung iPhone 16 256GB,iPhone 16 with 256GB storage,2,1216.69,1
19,Apple iPhone 16 256GB,iPhone 16 with 256GB storage,1,1594.46,1
20,HP iPhone 16 256GB,iPhone 16 with 256GB storage,5,1457.9,1
21,Apple iPhone 16 512GB,iPhone 16 with 512GB storage,1,1527.83,1
22,Apple iPhone 16 512GB,iPhone 16 with 512GB storage,1,2033.56,1
23,Dell iPhone 16 512GB,iPhone 16 with 512GB storage,4,2150.36,1
24,HP iPhone 16 512GB,iPhone 16 with 512GB storage,5,893.29,1
25,Apple iPhone 16 512GB,iPhone 16 with 512GB storage,1,1904.06,1
26,Sony iPhone 16 512GB,iPhone 16 with 512GB storage,3,1477.09,1
